Numero Caso	Poliza	Costo	Cobertura	Ciudad
100	        1235	1200	  30	     Cordoba
101	        236	    1200	  30	     Salta
102	        3265	6500	  30	     Mendoza
103	        3241	326	      -1	     Mendoza
104	        3297	1254	  20	     Salta
105	        8956	2360	  20	     Mendoza
106	        6235	2100	  20	     Cordoba
107	        6325	3000	  40	     Salta
108	        2514	6500	  40	     Cordoba
109	        9875	9800	  30	     Mendoza
110	        3265	789	      20	     Cordoba
111	        9856	1200	  40	     -
112	        123	    1200	  40	     Cordoba
113	        524	    3200	  50	     Salta
114	        987	    6000	  50	     Mendoza
115	        654	    120	      50	     Cordoba
116	        321	    562	      60	     Mendoza
117	        1238	1200	  60	     Mendoza
118	        1278	1200	  60	     Cordoba
119	        9543	1400   	  50	     Cordoba
120	        2651	6100	  50	     Mendoza
121	        987	    6000	  50	     Mendoza
122	        654	    120	      50	     Cordoba
123	        321	    562	      60	     Mendoza
124	        1238	0      	  60	     Mendoza
125	        1278	1200	  60	     Cordoba
126	        9543	1400   	  50	     Cordoba
127	        2651	6100	  50	     Mendoza
